abseil-cpp 20250512.0-1
accountsservice 23.13.9-2
acl 2.3.2-1
adwaita-colors-icon-theme-git 2.4.1.r8.gf153417-1
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
adwaita-plus-git 6.1.r6.g8dd6ce97-1
aic94xx-firmware 30-10
alsa-card-profiles 1:1.4.2-1
alsa-lib 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
aom 3.12.1-1
appstream 1.0.5-2
appstream-glib 0.8.3-2
aquamarine 0.8.0-4
archlinux-keyring 20250430.1-1
asciidoc 10.2.1-2
ast-firmware 501-1
at-spi2-core 2.56.2-1
atkmm 2.28.4-1
attica 6.14.0-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
aws-c-auth 0.9.0-1
aws-c-cal 0.9.0-1
aws-c-common 0.12.3-1
aws-c-compression 0.3.1-1
aws-c-event-stream 0.5.4-1
aws-c-http 0.10.1-1
aws-c-io 0.19.0-1
aws-c-mqtt 0.13.0-1
aws-c-s3 0.7.18-1
aws-c-sdkutils 0.2.4-1
aws-checksums 0.2.7-1
aws-crt-cpp 0.32.5-1
aws-sdk-cpp-core 1.11.570-1
aws-sdk-cpp-s3 1.11.570-1
baloo 6.14.0-1
baloo-widgets 25.04.1-1
base 3-2
base-devel 1-2
bash 5.2.037-5
bc 1.08.2-1
bibata-cursor-theme-bin 2.0.7-1
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
blueman 2.4.4-1
bluez 5.82-1
bluez-libs 5.82-1
bluez-utils 5.82-1
boost-libs 1.88.0-2
brave-bin 1:1.78.102-1
breeze-icons 6.14.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop-git 1.4.3.r1243.42fac76-1
btrfs-progs 6.14-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.112-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
capnproto 1.1.0-1
cbindgen 0.29.0-1
cdparanoia 10.2-9
chaotic-keyring 20230616-1
chaotic-mirrorlist 20240724-3
check 0.15.2-3
cifs-utils 7.3-1
cinnamon-desktop 6.4.1-1
cjs 6.4.0-1
clang 19.1.7-2
clutter 1.26.4-3
clutter-gst 3.0.27-5
clutter-gtk 1.8.4-4
cmake 4.0.2-1
cmd-wrapped-bin 0.4.1-1
cogl 1.22.8-3
compiler-rt 19.1.7-1
convertlit 1.8-12
copyq-git 1:r6398.5672fd5b-1
coreutils 9.7-1
cpio 2.15-2
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.7.5-2
cups 2:2.4.12-2
cups-filters 2.0.1-2
curl 8.13.0-2
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.114-1
dbus-units 36-4
dconf 0.40.0-3
ddcutil-git 2.2.0.r147.g182db75-1
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.32-1
diffutils 3.12-2
dkms 3.2.1-1
docbook-xml 4.5-10
docbook-xsl 1.79.2-9
double-conversion 3.3.1-1
duktape 2.7.0-7
dunst 1.12.2-1
e2fsprogs 1.47.2-2
ebook-tools 0.2.2-9
editline 1.17.1-3
efibootmgr 18-3
efivar 39-1
electron34 34.5.6-1
ell 0.77-1
enchant 2.8.2-2
evtest 1.35-2
exempi 2.6.6-1
exiv2 0.28.5-1
expat 2.7.1-1
extra-cmake-modules 6.14.0-1
eza 0.21.3-1
fakeroot 1.37.1.2-1
fastfetch 2.44.0-1
fcitx5 5.1.12-1
fcitx5-configtool 5.1.9-1
fcitx5-gtk 5.1.3-1
fcitx5-lua 5.0.14-1
fcitx5-paste-primary-git 0.16-3
fcitx5-qt 5.1.9-5
fcitx5-themes-candlelight 0.1.1.5d4b77-1
ffmpeg 2:7.1.1-3
fftw 3.3.10-7
file 5.46-4
file-roller 44.5-1
filesystem 2025.05.03-1
findutils 4.10.0-2
firefox 139.0-1
flac 1.5.0-1
flex 2.6.4-5
fmt 11.2.0-1
fontconfig 2:2.16.2-1
freeglut 3.6.0-2
freetype2 2.13.3-3
fribidi 1.0.16-2
fuse-common 3.17.1-1
fuse3 3.17.1-1
fzf 0.62.0-1
gamemode 1.8.2-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.1.1+r7+gf36ec88aa85a-1
gcc-libs 15.1.1+r7+gf36ec88aa85a-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
gettext 0.25-1
gflags 2.2.2-5
ghostscript 10.05.1-2
giflib 5.2.2-2
git 2.49.0-2
glib-networking 1:2.80.1-1
glib2 2.84.2-1
glib2-docs 2.84.2-1
glibc 2.41+r48+g5cb575ca9a3d-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glslang 1:1.4.313.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnome-online-accounts 3.54.3-1
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.7-2
gnutls 3.8.9-1
go 2:1.24.3-1
gobject-introspection 1.84.0-1
gobject-introspection-runtime 1.84.0-1
google-glog 0.7.1-1
gperftools 2.16-1
gpgme 1.24.3-2
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-4
graphviz 12.2.1-1
grep 3.12-2
grim 1.4.1-3
grimblast-git r129.910dad4-1
groff 1.23.0-7
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-4
gsm 1.0.22-2
gssdp 1.6.3-2
gst-plugin-pipewire 1:1.4.2-1
gst-plugins-bad-libs 1.26.1-1
gst-plugins-base 1.26.1-1
gst-plugins-base-libs 1.26.1-1
gstreamer 1.26.1-1
gtest 1.17.0-1
gtk-doc 1.34.0-3
gtk-layer-shell 0.9.2-1
gtk-update-icon-cache 1:4.18.5-2
gtk2 2.24.33-5
gtk3 1:3.24.49-2
gtk4 1:4.18.5-2
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-2
gts 0.7.6.121130-3
guile 3.0.10-1
gupnp 1:1.6.8-2
gupnp-igd 1.6.0-2
gvfs 1.57.2-3
gvfs-afc 1.57.2-3
gvfs-gphoto2 1.57.2-3
gvfs-mtp 1.57.2-3
gvfs-nfs 1.57.2-3
gvfs-smb 1.57.2-3
gzip 1.14-2
harfbuzz 11.2.1-1
harfbuzz-icu 11.2.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.2.0-1
hunspell 1.7.2-2
hwdata 0.395-1
hwloc 2.12.1-1
hyphen 2.8.8-6
hyprcursor 0.1.12-3
hyprgraphics 0.1.3-4
hypridle 0.1.6-4
hyprland 0.49.0-1
hyprland-qt-support 0.1.0-6
hyprland-qtutils-git 0.1.4.r0.g4be1d32-1
hyprlang 0.6.3-1
hyprlock 0.8.2-1
hyprpicker 0.4.5-1
hyprpolkitagent 0.1.2-7
hyprsunset 0.2.0-4
hyprutils-git 0.7.1.r0.g674ea57-1
hyprwayland-scanner 0.4.4-1
i2c-tools 4.4-2
iana-etc 20250502-1
icu 76.1-1
ijs 0.35-6
imagemagick 7.1.1.47-2
imake 1.0.10-2
imv 4.5.0-5
inetutils 2.6-1
intel-gmmlib 22.7.2-1
intel-gpu-tools 2.0-1
intel-media-driver 25.2.3-1
intel-ucode 20250512-1
iproute2 6.15.0-1
iptables 1:1.8.11-2
iputils 20240905-1
iso-codes 4.18.0-1
iwd 3.8-1
jansson 2.14.1-1
jasper 4.2.5-1
jbig2dec 0.20-1
jbigkit 2.1-8
jq 1.7.1-2
js115 115.23.1-1
json-c 0.18-2
json-glib 1.10.6-1
jsoncpp 1.9.6-3
kactivities5 5.116.0-1
karchive 6.14.0-1
karchive5 5.116.0-1
kauth 6.14.0-1
kauth5 5.116.0-1
kbd 2.7.1-2
kbookmarks 6.14.0-1
kbookmarks5 5.116.0-1
kcmutils 6.14.0-1
kcodecs 6.14.0-1
kcodecs5 5.116.0-1
kcolorpicker-qt5 0.3.1-4
kcolorscheme 6.14.0-1
kcompletion 6.14.0-1
kcompletion5 5.116.0-1
kconfig 6.14.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.14.0-1
kconfigwidgets5 5.116.0-1
kcoreaddons 6.14.0-1
kcoreaddons5 5.116.0-1
kcrash 6.14.0-1
kcrash5 5.116.0-1
kdbusaddons 6.14.0-1
kdbusaddons5 5.116.0-1
kdeclarative5 5.116.0-1
kded5 5.116.0-1
kdesu 6.14.0-1
kdnssd 6.14.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyd 2.5.0-1
keyutils 1.6.3-3
kfilemetadata 6.14.0-1
kglobalaccel 6.14.0-1
kglobalaccel5 5.116.0-1
kguiaddons 6.14.0-1
kguiaddons5 5.116.0-1
ki18n 6.14.0-1
ki18n5 5.116.0-1
kiconthemes 6.14.0-1
kiconthemes5 5.116.0-1
kidletime 6.14.0-1
kimageannotator-qt5 0.7.1-3
kio 6.14.0-1
kio-extras 25.04.1-1
kio5 5.116.0-2
kirigami 6.14.1-1
kirigami2 5.116.0-1
kitemviews 6.14.0-1
kitemviews5 5.116.0-1
kitty 0.42.1-1
kitty-shell-integration 0.42.1-1
kitty-terminfo 0.42.1-1
kjobwidgets 6.14.0-1
kjobwidgets5 5.116.0-1
kmod 34.2-1
knewstuff 6.14.0-1
knotifications 6.14.0-1
knotifications5 5.116.0-1
kpackage 6.14.0-1
kpackage5 5.116.0-1
kparts 6.14.0-1
kpty 6.14.0-1
krb5 1.21.3-1
kservice 6.14.0-1
kservice5 5.116.0-1
ksnip 1.10.1-4
ktextwidgets 6.14.0-1
ktextwidgets5 5.116.0-1
kuserfeedback 6.14.0-1
kvantum 1.1.5-1
kvantum-qt5 1.1.5-1
kvantum-theme-orchis-git r67.d6c86c2-1
kwallet 6.14.1-1
kwallet5 5.116.0-2
kwayland5 5.116.0-1
kwidgetsaddons 6.14.0-1
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.14.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.14.0-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
layer-shell-qt5 5.27.12-1
lcms2 2.17-1
ldb 2:4.22.1-1
leancrypto 1.3.0-1
less 1:668-1
leveldb 1.23-4
libadwaita 1:1.7.3-1
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.8.0-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.3.0-1
libb2 0.98.1-3
libblake3 1.8.2-1
libblockdev 3.3.0-1
libblockdev-crypto 3.3.0-1
libblockdev-fs 3.3.0-1
libblockdev-loop 3.3.0-1
libblockdev-mdraid 3.3.0-1
libblockdev-nvme 3.3.0-1
libblockdev-part 3.3.0-1
libblockdev-swap 3.3.0-1
libbluray 1.3.4-3
libbpf 1.5.0-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.76-1
libcap-ng 0.8.5-3
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libcpuid 0.8.0-1
libcryptui 1:3.12.2+r71+ged4f890e-1
libcups 2:2.4.12-2
libcupsfilters 2.1.1-2
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdbusmenu-qt5 0.9.3+16.04.20160218-7
libde265 1.0.16-1
libdecor 0.2.3-1
libdisplay-info 0.2.0-2
libdovi 3.3.1-1
libdrm 2.4.124-1
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.4.0-1
libelf 0.193-2
libepoxy 1.5.10-3
libevdev 1.13.4-1
libevent 2.1.12-4
libexif 0.6.25-1
libfdk-aac 2.0.3-1
libffi 3.4.8-1
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libgcrypt 1.11.1-1
libgdata 0.18.1-4
libgirepository 1.84.0-1
libgit2 1:1.9.0-2
libglvnd 1.7.0-1
libgnomekbd 1:3.28.1-1
libgoa 3.54.3-1
libgpg-error 1.55-1
libgphoto2 2.5.31-4
libgudev 238-3
libhandy 1.8.3-2
libheif 1.19.8-1
libice 1.1.2-1
libidn 1.43-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libimagequant 4.3.4-1
libimobiledevice 1.3.0-16
libimobiledevice-glue 1.3.1-1
libinih 58-1
libinput 1.28.1-1
libisl 0.27-1
libjpeg-turbo 3.1.0-1
libjxl 0.11.1-3
libkexiv2 25.04.1-1
libksba 1.6.7-2
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.10-1
libliftoff 0.5.0-1
liblqr 0.4.3-1
libluv 1.48.0_2-1
libmanette 0.2.12-1
libmd 1.1.0-2
libmm-glib 1.24.0-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpdclient 2.22-1
libmtp 1.1.22-1
libmusicbrainz5 5.1.0-9
libmysofa 1.3.3-1
libnautilus-extension 48.2-1
libndp 1.9-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-3
libnftnl 1.2.9-1
libnghttp2 1.65.0-1
libnghttp3 1.9.0-1
libngtcp2 1.12.0-1
libnice 0.1.22-2
libnl 3.11.0-1
libnm 1.52.0-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.6-1
libnsl 2.0.1-1
libnvme 1.13-1
libogg 1.3.5-2
libopenmpt 0.7.13-2
libp11-kit 0.25.5-1
libpaper 2.2.6-1
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipewire 1:1.4.2-1
libplacebo 7.351.0-1
libplist 2.6.0-2
libpng 1.6.48-1
libppd 2.1.1-1
libprocps 3.3.17-4
libproxy 0.5.9-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libpwquality 1.4.5-6
libqalculate 5.5.2-2
libraqm 0.10.2-1
libraw1394 2.1.2-4
librest 0.9.1-3
librime 1:1.12.0-3
librime-data 0.0.0.20230921-1
